1	A. A. Milne	The third-rate mind is only happy when it is thinking with the majority. The second-rate mind is only happy when it is thinking with the minority. The first-rate mind is only happy when it is thinking.
2	A. J. Jacobs	The key to making healthy decisions is to respect your future self. Honor him or her. Treat him or her like you would treat a friend or a loved one. A Stanford study showed that those who saw a photo of their future self made smarter financial decisions.
3	A. J. Jacobs	I tried the paleo diet, which is the caveman diet - lots of meat. And I tried the calorie restriction diet: The idea is that if you eat very, very little - if you're on the verge of starvation, you will live a very long time, whether or not you want to, of course.
4	A. J. Jacobs	My goal? To test out every diet and exercise regimen on planet earth and figure out which work best. I sweated, I cooked, I learned to pole dance. In the end, I lost weight, lowered my cholesterol and doubled my energy level. I feel better than I ever have.
5	A. J. Jacobs	I was very good at sitting. But I just read so much research about how horrible sitting is for you. It's like, it's really bad. It's like Paula-Deen-glazed-bacon-doughnut bad. So I now move around as much as possible.
6	A. J. Jacobs	There's a very passionate pro-chewing movement on the Internet called Chewdiasm. They say that we should be chewing 50 to 100 times per mouthful, which is insane. I tried that. It takes like a day and a half to eat a sandwich. But their basic idea is right. If you chew, you'll eat slower and you will get more nutrients.
7	A. P. J. Abdul Kalam	If a country is to be corruption free and become a nation of beautiful minds, I strongly feel there are three key societal members who can make a difference. They are the father, the mother and the teacher.
8	A. P. J. Abdul Kalam	My message, especially to young people is to have courage to think differently, courage to invent, to travel the unexplored path, courage to discover the impossible and to conquer the problems and succeed. These are great qualities that they must work towards. This is my message to the young people.
9	A. P. J. Abdul Kalam	When we tackle obstacles, we find hidden reserves of courage and resilience we did not know we had. And it is only when we are faced with failure do we realise that these resources were always there within us. We only need to find them and move on with our lives.
10	A. P. J. Abdul Kalam	The world has today 546 nuclear plants generating electricity. Their experience is being continuously researched, and feedback should be provided to all. Nuclear scientists have to interact with the people of the nation, and academic institutions continuously update nuclear power generation technology and safety.
11	A. P. J. Abdul Kalam	Almost half of the population of the world lives in rural regions and mostly in a state of poverty. Such inequalities in human development have been one of the primary reasons for unrest and, in some parts of the world, even violence.
12	Aaliyah	I think it's important to take a break, you know, from the public eye for a while, and give people a chance to miss you. I want longevity. I don't want to get out there and run myself ragged and spread myself thin.
13	Aaron Eckhart	I often feel that my days in New York City, that I was here for five years, didn't get one job, went on a thousands of auditions and literally did not get a job on a soap, not a movie, not TV, not nothing, although I did do some commercials thank God.
14	Abdullah Ahmad Badawi	When she was in United States, we maintained contact, we talked to each other on the phone, almost every night. And there was one occasion I tried to fix this video conferencing but somehow it did not come out very well enough so better to talk on the phone.
15	Abdullah Ahmad Badawi	I always said that you can use the same vehicle although the driver will change, or the same vehicle to go for the race. It's a different driver, this is exactly what's happening to the cabinet.
16	Abdullah Ahmad Badawi	I believe it is an important project, it makes the cost of doing business lower and they will make us more competitive at the same time, it will also provide some satisfaction to the people who demand services for them of the quality they want and also quickly.
17	Abdullah Ahmad Badawi	The idea is that they wouldn't want to deal with militant Islam but an Islam and Muslims who are committed to progress, committed to development, who like peace and are moderate in their ways. So that's what we are doing here.
18	Abdullah Ahmad Badawi	We have also set up the national institute for ethics. This institute and also the implementation of the national integrity plan, that will certainly do the follow up that is necessary for this.
19	Abdullah Ahmad Badawi	We have been given a role to play. We have been asked to provide, to give lectures on the role of Islamic development and the way we do it here, so the people who are Muslims there would understand what the role of Islam is.
20	Abdullah Ibrahim	When time and space and change converge, we find place. We arrive in Place when we resolve things. Place is peace of mind and understanding. Place is knowledge of self. Place is resolution.
21	Aberjhani	Mainstream media's representation, or its guerrilla decontextualization, of black men's lives in particular can set the stage for erroneous assumptions capable of damaging an individual or a nation.
22	Aberjhani	At some point, a flash of sustained clarity reveals the difference between what someone would have you believe is true, and what you know from the depths of your own heart to the peaks of your soul to be true. What happens after that is up to you.
23	Aberjhani	Because Mr. Mandela's early opponents invested so many resources into distorting the true nature of his advocacy, the singular historic moment millions now celebrate could have been tragically lost to guerrilla decontextualization.
24	Aberjhani	Classic romantic love is an emotional attraction between two individuals in which they may share a heightened awareness of mutual adoration. Erotic love, traditionally, has been described as shared sexual attraction.
